State,Year,Quarter,Transaction Type,Transactions,Amount (INR),ATV (INR)
Jammu & Kashmir,2018,3,Financial Services,44464,6397888.355,143.8891767
Jammu & Kashmir,2018,3,Others,36825,26373935,716.1964699
Jammu & Kashmir,2018,4,Peer-to-peer payments,1265457,5151829745,4071.121931
Jammu & Kashmir,2018,4,Recharge & bill payments,970724,254473764,262.1484212
Jammu & Kashmir,2018,4,Merchant payments,402303,215771001.5,536.339529
Jammu & Kashmir,2018,4,Financial Services,33775,6072177.152,179.7831873
Jammu & Kashmir,2018,4,Others,49051,36573577.74,745.6234886
Jammu & Kashmir,2019,1,Peer-to-peer payments,1913720,5414709532,2829.415762
Jammu & Kashmir,2019,1,Recharge & bill payments,1131953,302663112.9,267.3813426
Jammu & Kashmir,2019,1,Merchant payments,452379,199219534.9,440.3819252
Jammu & Kashmir,2019,1,Financial Services,43247,4593545.202,106.2165052
Jammu & Kashmir,2019,1,Others,43688,30649751.66,701.5599628
Jammu & Kashmir,2019,2,Peer-to-peer payments,1180781,5666318253,4798.788474
Jammu & Kashmir,2019,2,Recharge & bill payments,706569,215937468.9,305.6141282
Jammu & Kashmir,2019,2,Merchant payments,353678,188931529.5,534.1907879
Jammu & Kashmir,2019,2,Financial Services,22663,2652961.354,117.0613491
Jammu & Kashmir,2019,2,Others,32664,26301988.32,805.2286406
Jammu & Kashmir,2019,3,Peer-to-peer payments,618694,3499425218,5656.148626
Jammu & Kashmir,2019,3,Recharge & bill payments,318061,111964437,352.0218984
Jammu & Kashmir,2019,3,Merchant payments,165115,120736230.1,731.2250861
Jammu & Kashmir,2019,3,Financial Services,2895,658515.8825,227.4666261
Jammu & Kashmir,2019,3,Others,11761,11446090.82,973.2242853
Jammu & Kashmir,2019,4,Peer-to-peer payments,310620,1799955856,5794.719773
Jammu & Kashmir,2019,4,Merchant payments,91303,77859073.82,852.7548254
Jammu & Kashmir,2019,4,Recharge & bill payments,84803,49065907.05,578.5869255
Jammu & Kashmir,2019,4,Financial Services,197,213741.2862,1084.981148
Jammu & Kashmir,2019,4,Others,3005,2601419.696,865.6970702
Jammu & Kashmir,2020,1,Peer-to-peer payments,435154,2654638582,6100.457728
Jammu & Kashmir,2020,1,Recharge & bill payments,341357,144213068.7,422.4699324
Jammu & Kashmir,2020,1,Merchant payments,135241,131144419,969.7090303
Jammu & Kashmir,2020,1,Financial Services,2350,2116665.118,900.708561
Jammu & Kashmir,2020,1,Others,7528,5530441.652,734.6495287
Jammu & Kashmir,2020,2,Peer-to-peer payments,1238380,7426818530,5997.20484
Jammu & Kashmir,2020,2,Recharge & bill payments,1028741,413037418.3,401.4979653
Jammu & Kashmir,2020,2,Merchant payments,341375,403026357.8,1180.597167
Jammu & Kashmir,2020,2,Financial Services,9130,10415041.34,1140.749325
Jammu & Kashmir,2020,2,Others,17380,12351591.57,710.6784563
Jammu & Kashmir,2020,3,Peer-to-peer payments,1787154,10837119047,6063.897709
Jammu & Kashmir,2020,3,Recharge & bill payments,1005745,443743222.5,441.2084798
Jammu & Kashmir,2020,3,Merchant payments,642688,667957476.4,1039.31842
Jammu & Kashmir,2020,3,Financial Services,10111,13281733.8,1313.592503
Jammu & Kashmir,2020,3,Others,20200,15128281.34,748.9248189
Jammu & Kashmir,2020,4,Peer-to-peer payments,2378539,13736841260,5775.327316
Jammu & Kashmir,2020,4,Recharge & bill payments,1900075,536741118.3,282.4841747
Jammu & Kashmir,2020,4,Merchant payments,1377786,1045006123,758.46766
Jammu & Kashmir,2020,4,Financial Services,13578,17966592.7,1323.213485
Jammu & Kashmir,2020,4,Others,84466,44350708.94,525.0717323
Jammu & Kashmir,2021,1,Peer-to-peer payments,2800201,14801220301,5285.770665
Jammu & Kashmir,2021,1,Recharge & bill payments,2554798,663747765.7,259.8044016
Jammu & Kashmir,2021,1,Merchant payments,1527253,1605408313,1051.173783
Jammu & Kashmir,2021,1,Financial Services,17276,20848657.86,1206.798904
Jammu & Kashmir,2021,1,Others,98042,47124854.99,480.6598702
Jammu & Kashmir,2021,2,Peer-to-peer payments,3955437,19502438178,4930.539452
Jammu & Kashmir,2021,2,Recharge & bill payments,3568970,892467613.6,250.0630752
Jammu & Kashmir,2021,2,Merchant payments,2378307,2343370986,985.3105531
Jammu & Kashmir,2021,2,Financial Services,19432,21897796.19,1126.893587
Jammu & Kashmir,2021,2,Others,105673,53580855.46,507.0439512
